Results on the classifier: CLASSIFIERS for the cipher: DES on mode: CBC

img: t | detection: 1 | compression time: 0,132s | decompression time: 0,02s | img initial dimension: 9kb | img secure dimension: 12kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 1,615s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,087s | decompression time: 0,003s | img initial dimension: 5kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,091s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 6kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,11s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,114s | decompression time: 0,003s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.

average compression time: 0,158s | average decompression time: 0,007s | average initial dimension: 6,327kb | average secure dimension: 8,878kb.


Results on the classifier: CLASSIFIERS for the cipher: DES on mode: CFB

img: t | detection: 1 | compression time: 0,109s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,105s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,148s | decompression time: 0,003s | img initial dimension: 10kb | img secure dimension: 13kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,124s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,124s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,12s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,132s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,129s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 11kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,129s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,114s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,133s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,144s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
