Results on the classifier: CLASSIFIERS for the cipher: AES on mode: CBC

img: t | detection: 2 | compression time: 0,139s | decompression time: 0,029s | img initial dimension: 9kb | img secure dimension: 12kb | img decompressed dimensions: 19kb.
img: t | detection: 2 | compression time: 0,141s | decompression time: 0,033s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 2 | compression time: 0,143s | decompression time: 0,037s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 3 | compression time: 0,113s | decompression time: 0,049s | img initial dimension: 4kb | img secure dimension: 6kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,1s | decompression time: 0,033s | img initial dimension: 4kb | img secure dimension: 6kb | img decompressed dimensions: 19kb.
img: t | detection: 3 | compression time: 0,128s | decompression time: 0,026s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.

average compression time: 0,11s | average decompression time: 0,017s | average initial dimension: 6,327kb | average secure dimension: 8,531kb.


Results on the classifier: CLASSIFIERS for the cipher: AES on mode: CFB

img: t | detection: 3 | compression time: 0,124s | decompression time: 0,039s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,148s | decompression time: 0,027s | img initial dimension: 4kb | img secure dimension: 5kb | img decompressed dimensions: 19kb.
img: t | detection: 0 | compression time: 0,124s | decompression time: 0,03s | img initial dimension: 10kb | img secure dimension: 5kb | img decompressed dimensions: 19kb.
img: t | detection: 3 | compression time: 0,138s | decompression time: 0,037s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 2 | compression time: 0,12s | decompression time: 0,031s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 2 | compression time: 0,147s | decompression time: 0,042s | img initial dimension: 8kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 2 | compression time: 0,11s | decompression time: 0,036s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 2 | compression time: 0,155s | decompression time: 0,033s | img initial dimension: 8kb | img secure dimension: 11kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,119s | decompression time: 0,032s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 19kb.
